region,year,costs,lag,change
Івано-Франківська,2008,17419.0,12211.0,5208.0
Івано-Франківська,2009,18361.0,17419.0,942.0
Івано-Франківська,2014,42692.0,36009.0,6683.0
Івано-Франківська,2015,51418.0,42692.0,8726.0
Автономна Республіка Крим,2008,31838.0,23141.0,8697.0
Автономна Республіка Крим,2009,32137.0,31838.0,299.0
Автономна Республіка Крим,2014,53692.0,53692.0,0.0
Автономна Республіка Крим,2015,53692.0,53692.0,0.0
Волинська,2008,14360.0,10288.0,4072.0
Волинська,2009,14566.0,14360.0,206.0
Волинська,2014,31909.0,27002.0,4907.0
Волинська,2015,40405.0,31909.0,8496.0
Вінницька,2008,23129.0,16432.0,6697.0
Вінницька,2009,24018.0,23129.0,889.0
Вінницька,2014,48855.0,41067.0,7788.0
Вінницька,2015,59478.0,48855.0,10623.0
Дніпропетровська,2008,59382.0,42624.0,16758.0
Дніпропетровська,2009,58838.0,59382.0,-544.0
Дніпропетровська,2014,127486.0,109127.0,18359.0
Дніпропетровська,2015,154424.0,127486.0,26938.0
Донецька,2008,74826.0,53344.0,21482.0
Донецька,2009,75775.0,74826.0,949.0
Донецька,2014,108762.0,139958.0,-31196.0
Донецька,2015,74873.0,108762.0,-33889.0
Житомирська,2008,16892.0,12245.0,4647.0
Житомирська,2009,17452.0,16892.0,560.0
Житомирська,2014,37002.0,31826.0,5176.0
Житомирська,2015,45869.0,37002.0,8867.0
Закарпатська,2008,15170.0,11218.0,3952.0
Закарпатська,2009,15949.0,15170.0,779.0
Закарпатська,2014,32057.0,27141.0,4916.0
Закарпатська,2015,39856.0,32057.0,7799.0
Запорізька,2008,30405.0,22164.0,8241.0
Запорізька,2009,31795.0,30405.0,1390.0
Запорізька,2014,64637.0,56055.0,8582.0
Запорізька,2015,77780.0,64637.0,13143.0
Київська,2008,28262.0,20061.0,8201.0
Київська,2009,29385.0,28262.0,1123.0
Київська,2014,66904.0,56520.0,10384.0
Київська,2015,87615.0,66904.0,20711.0
Кіровоградська,2008,13518.0,9943.0,3575.0
Кіровоградська,2009,14093.0,13518.0,575.0
Кіровоградська,2014,28863.0,24702.0,4161.0
Кіровоградська,2015,36240.0,28863.0,7377.0
Луганська,2008,29852.0,21427.0,8425.0
Луганська,2009,31602.0,29852.0,1750.0
Луганська,2014,36432.0,61201.0,-24769.0
Луганська,2015,22942.0,36432.0,-13490.0
Львівська,2008,36589.0,27099.0,9490.0
Львівська,2009,37106.0,36589.0,517.0
Львівська,2014,77102.0,68075.0,9027.0
Львівська,2015,98334.0,77102.0,21232.0
Миколаївська,2008,18103.0,12989.0,5114.0
Миколаївська,2009,18751.0,18103.0,648.0
Миколаївська,2014,37524.0,32612.0,4912.0
Миколаївська,2015,45466.0,37524.0,7942.0
Одеська,2008,43807.0,32293.0,11514.0
Одеська,2009,46856.0,43807.0,3049.0
Одеська,2014,98609.0,86222.0,12387.0
Одеська,2015,118280.0,98609.0,19671.0
Полтавська,2008,22294.0,16400.0,5894.0
Полтавська,2009,22636.0,22294.0,342.0
Полтавська,2014,45428.0,39017.0,6411.0
Полтавська,2015,56545.0,45428.0,11117.0
Рівненська,2008,14520.0,10386.0,4134.0
Рівненська,2009,15234.0,14520.0,714.0
Рівненська,2014,32735.0,28093.0,4642.0
Рівненська,2015,40141.0,32735.0,7406.0
Сумська,2008,14939.0,10853.0,4086.0
Сумська,2009,15352.0,14939.0,413.0
Сумська,2014,32620.0,27555.0,5065.0
Сумська,2015,39483.0,32620.0,6863.0
Тернопільська,2008,12354.0,8807.0,3547.0
Тернопільська,2009,13261.0,12354.0,907.0
Тернопільська,2014,28275.0,23867.0,4408.0
Тернопільська,2015,34589.0,28275.0,6314.0
Україна,2008,793630.0,575510.0,218120.0
Україна,2009,813909.0,793630.0,20279.0
Україна,2014,1485988.0,1432467.0,53521.0
Україна,2015,1740943.0,1485988.0,254955.0
Харківська,2008,52318.0,37587.0,14731.0
Харківська,2009,54325.0,52318.0,2007.0
Харківська,2014,114267.0,97863.0,16404.0
Харківська,2015,139652.0,114267.0,25385.0
Херсонська,2008,14998.0,11009.0,3989.0
Херсонська,2009,15439.0,14998.0,441.0
Херсонська,2014,33119.0,27304.0,5815.0
Херсонська,2015,41563.0,33119.0,8444.0
Хмельницька,2008,18197.0,13250.0,4947.0
Хмельницька,2009,18832.0,18197.0,635.0
Хмельницька,2014,36880.0,31131.0,5749.0
Хмельницька,2015,44720.0,36880.0,7840.0
Черкаська,2008,18673.0,13726.0,4947.0
Черкаська,2009,19113.0,18673.0,440.0
Черкаська,2014,38942.0,33864.0,5078.0
Черкаська,2015,46780.0,38942.0,7838.0
Чернівецька,2008,11870.0,8465.0,3405.0
Чернівецька,2009,12183.0,11870.0,313.0
Чернівецька,2014,24640.0,20567.0,4073.0
Чернівецька,2015,30190.0,24640.0,5550.0
Чернігівська,2008,14549.0,10523.0,4026.0
Чернігівська,2009,14828.0,14549.0,279.0
Чернігівська,2014,31237.0,26541.0,4696.0
Чернігівська,2015,38209.0,31237.0,6972.0
м.Київ,2008,137542.0,101435.0,36107.0
м.Київ,2009,137823.0,137542.0,281.0
м.Київ,2014,229011.0,211436.0,17575.0
м.Київ,2015,276091.0,229011.0,47080.0
м.Севастополь,2008,7824.0,5590.0,2234.0
м.Севастополь,2009,8199.0,7824.0,375.0
м.Севастополь,2014,14020.0,14020.0,0.0
м.Севастополь,2015,14020.0,14020.0,0.0
